time	V(D,G)	V(a1)	V(l)	Ix(U1:G)
9.862225730035137e-07	2.061538e-05	5.436823e-05	4.831028e-08	4.007278e-10
1.452971714662167e-06	4.417643e-05	1.139473e-04	7.842404e-08	6.033231e-10
1.877535215232327e-06	7.359919e-05	1.876165e-04	1.091411e-07	7.876106e-10
2.330613394678122e-06	1.143297e-04	2.889609e-04	1.454156e-07	9.843009e-10
2.889804017648257e-06	1.775059e-04	4.454548e-04	1.951473e-07	1.227088e-09
3.587890852380379e-06	2.758749e-04	6.882491e-04	2.649195e-07	1.530226e-09
4.463692052627419e-06	4.297432e-04	1.066864e-03	3.645005e-07	1.910610e-09
5.553626204498872e-06	6.685235e-04	1.652843e-03	5.071138e-07	2.384112e-09
6.916349023042370e-06	1.040759e-03	2.564113e-03	7.144813e-07	2.976303e-09
8.614644239520385e-06	1.619059e-03	3.976606e-03	1.017954e-06	3.714600e-09
1.073806344744975e-05	2.520279e-03	6.172852e-03	1.467384e-06	4.638148e-09
1.338864656019832e-05	3.922188e-03	9.581239e-03	2.136920e-06	5.791654e-09
1.670487088278037e-05	6.107614e-03	1.488100e-02	3.143114e-06	7.235878e-09
2.085177799447063e-05	9.512108e-03	2.311331e-02	4.662617e-06	9.043406e-09
2.604767890270307e-05	1.482513e-02	3.591752e-02	6.971792e-06	1.131025e-08
3.256092624335541e-05	2.311850e-02	5.582448e-02	1.049438e-05	1.415381e-08
4.074303738015501e-05	3.608848e-02	8.680616e-02	1.589228e-05	1.772416e-08
5.103715296146335e-05	5.639651e-02	1.350280e-01	2.418788e-05	2.219676e-08
6.402548073380662e-05	8.827357e-02	2.101635e-01	3.697810e-05	2.776338e-08
8.046137405856612e-05	1.382960e-01	3.270070e-01	5.674307e-05	3.460317e-08
1.004613740585661e-04	2.125832e-01	4.987791e-01	8.595250e-05	4.258169e-08
1.204613740585661e-04	3.013033e-01	7.017062e-01	1.205694e-04	5.022117e-08
1.404613740585661e-04	4.047588e-01	9.357063e-01	1.603312e-04	5.759120e-08
1.604613740585661e-04	5.225657e-01	1.199213e+00	2.049827e-04	6.475343e-08
1.804613740585661e-04	6.543541e-01	1.490739e+00	2.542783e-04	7.173256e-08
2.004613740585661e-04	7.997666e-01	1.808873e+00	3.079837e-04	7.853808e-08
2.204613740585661e-04	9.584583e-01	2.152272e+00	3.658764e-04	8.517575e-08
